,agree,disagree,discuss,unrelated
Fake News,68.8%,2.1%,2.7%,26.4%
USA Today,63.8%,0.4%,1.6%,34.2%
Washington Post,75.7%,1.7%,1.4%,21.2%
CNN,78.1%,1.3%,1.9%,18.8%
New York Times,73.0%,1.9%,1.4%,23.7%
Los Angeles Times,75.2%,0.9%,1.6%,22.4%
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
