,Number of Articles,Avg. Headline Length,Avg. Article Length,Artice Length (at Percentile),,
,,,,10th,50th,90th
CNN,2483,9.0,641.4,221.2,544.0,1157.0
New York Times,4151,8.9,869.9,261.0,834.0,1425.0
USA Today,931,12.3,458.6,167.0,441.0,763.0
Los Angeles Times,2807,15.2,553.8,109.0,514.0,1074.0
Washington Post,4918,7.8,809.8,328.7,760.5,1333.0
Fake News,12403,10.5,641.7,41.0,390.0,1399.8
